Date,Open,High,Low,Close,Volume
2019-12-13,152713.171875,153153.265625,149632.5,151392.890625,694659
2019-12-16,151392.890625,152273.078125,148752.3125,149632.5,396880
2019-12-17,150072.59375,157994.3125,149192.40625,157554.21875,1086743
2019-12-18,160194.796875,160194.796875,155793.84375,156233.9375,645522
2019-12-19,157994.3125,161074.984375,157114.125,158874.515625,782599
2019-12-20,159754.703125,161074.984375,158434.421875,160194.796875,628337
2019-12-23,161074.984375,166356.140625,161074.984375,164155.65625,990731
2019-12-24,165475.9375,166356.140625,161955.171875,162835.375,777949
2019-12-26,164595.75,167236.328125,162835.375,166796.234375,2429967
2019-12-27,169128.734375,172825.546875,166356.140625,170052.9375,1521649
2019-12-30,169128.734375,170977.140625,166818.234375,167280.34375,571202
2020-01-02,167280.34375,169128.734375,162659.328125,166356.140625,672825
2020-01-03,167742.4375,168666.640625,163583.53125,164045.640625,538890
2020-01-06,160810.9375,162197.234375,159424.625,159886.734375,622259
2020-01-07,161273.03125,165431.9375,160810.9375,164507.734375,494882
2020-01-08,161735.125,162659.328125,157576.234375,159886.734375,964206
2020-01-09,164507.734375,165894.03125,161735.125,163583.53125,562172
2020-01-10,164969.828125,164969.828125,161735.125,164045.640625,466486
2020-01-13,165431.9375,167280.34375,164969.828125,165894.03125,490294
2020-01-14,165894.03125,167742.4375,163583.53125,164507.734375,547756
2020-01-15,164507.734375,164969.828125,162659.328125,163121.4375,317621
2020-01-16,162659.328125,172363.4375,160810.9375,166818.234375,1377114
2020-01-17,166818.234375,167280.34375,160810.9375,161735.125,885177
2020-01-20,160810.9375,161735.125,158962.53125,159424.625,615139
2020-01-21,160810.9375,162197.234375,159424.625,159424.625,446895
2020-01-22,159424.625,163121.4375,159424.625,163121.4375,411730
2020-01-23,164045.640625,164045.640625,160810.9375,162197.234375,377934
2020-01-28,157576.234375,160348.828125,157114.125,157576.234375,733544
2020-01-29,159424.625,159886.734375,157114.125,158038.328125,530291
2020-01-30,158962.53125,159886.734375,152955.21875,154341.53125,683891
2020-01-31,155265.71875,158500.421875,152493.125,152493.125,636174
2020-02-03,149720.515625,154803.625,147872.125,153879.421875,738613
2020-02-04,154803.625,156652.03125,152493.125,154803.625,772755
2020-02-05,156189.921875,156652.03125,151106.828125,152031.03125,708630
2020-02-06,153417.328125,160810.9375,152955.21875,159424.625,899660
2020-02-07,160348.828125,160810.9375,157114.125,158500.421875,466058
2020-02-10,158038.328125,162197.234375,156652.03125,159886.734375,536833
2020-02-11,160810.9375,163121.4375,159424.625,160348.828125,468951
2020-02-12,160810.9375,161735.125,158962.53125,160810.9375,353034
2020-02-13,162197.234375,167280.34375,162197.234375,164969.828125,1314746
2020-02-14,164507.734375,168204.53125,164045.640625,167280.34375,698490
2020-02-17,168666.640625,173287.640625,168666.640625,171901.34375,863735
2020-02-18,172825.546875,172825.546875,168666.640625,170515.03125,595544
2020-02-19,171901.34375,172825.546875,166356.140625,167742.4375,799460
2020-02-20,168204.53125,168666.640625,163121.4375,165431.9375,814989
2020-02-21,163121.4375,167280.34375,162659.328125,163583.53125,485587
2020-02-24,159424.625,161273.03125,156189.921875,156189.921875,831713
2020-02-25,156189.921875,159886.734375,155727.828125,159424.625,615589
2020-02-26,157114.125,163583.53125,156189.921875,159886.734375,830920
2020-02-27,160348.828125,161735.125,156189.921875,157576.234375,712891
2020-02-28,155265.71875,158500.421875,154341.53125,157114.125,886240
2020-03-02,157576.234375,161735.125,155727.828125,161735.125,712121
2020-03-03,164969.828125,165431.9375,158962.53125,159424.625,709566
2020-03-04,158500.421875,161735.125,158038.328125,161273.03125,462052
2020-03-05,163583.53125,168204.53125,161273.03125,168204.53125,982999
2020-03-06,167742.4375,169128.734375,163583.53125,164045.640625,764810
2020-03-09,164045.640625,164045.640625,164045.640625,164045.640625,0
2020-03-10,158962.53125,167280.34375,156189.921875,167280.34375,1302736
2020-03-11,166356.140625,168204.53125,159886.734375,161735.125,883881
2020-03-12,161735.125,161735.125,161735.125,161735.125,0
2020-03-13,152493.125,160810.9375,144637.421875,157576.234375,2411278
2020-03-16,162659.328125,164507.734375,152955.21875,152955.21875,1140756
2020-03-17,146023.71875,158038.328125,146023.71875,155265.71875,1515034
2020-03-18,155265.71875,158038.328125,145099.515625,145099.515625,1314401
2020-03-19,151106.828125,152031.03125,128001.8046875,129388.1015625,3127283
2020-03-20,134471.203125,141402.71875,130312.3046875,140940.609375,2184780
2020-03-23,134471.203125,170515.03125,134009.109375,161735.125,7234270
2020-03-24,164969.828125,176060.25,163583.53125,170052.9375,4223876
2020-03-25,176522.34375,176984.4375,164045.640625,169128.734375,2526024
2020-03-26,168204.53125,176522.34375,164969.828125,167742.4375,2641275
2020-03-27,174211.84375,175598.140625,164969.828125,170052.9375,2085638
2020-03-30,168204.53125,172363.4375,167742.4375,170977.140625,1014670
2020-03-31,173287.640625,214876.671875,171439.234375,211641.96875,12044990
2020-04-01,216262.96875,218111.375,182991.75,182991.75,5635347
2020-04-02,171901.34375,183453.84375,168204.53125,180219.140625,9375269
2020-04-03,176984.4375,200551.5625,176984.4375,181143.34375,4492388
2020-04-06,187150.65625,196392.65625,185302.25,193157.953125,3006910
2020-04-07,192695.859375,198241.0625,187612.75,194082.15625,2387799
2020-04-08,194082.15625,195930.5625,191309.5625,191309.5625,1179508
2020-04-09,195468.453125,200089.46875,192695.859375,194544.265625,1459476
2020-04-10,197778.953125,198703.15625,187612.75,193620.0625,1884835
2020-04-13,194082.15625,208407.265625,192233.75,199165.265625,3933682
2020-04-14,203324.171875,203786.265625,195930.5625,199627.359375,1378472
2020-04-16,198241.0625,201013.65625,197316.859375,198703.15625,838797
2020-04-17,199165.265625,200089.46875,189923.25,195006.359375,1933010
2020-04-20,194544.265625,199627.359375,192233.75,195930.5625,988273
2020-04-21,196854.765625,201475.765625,191309.5625,195930.5625,1938440
2020-04-22,192233.75,201013.65625,192233.75,197778.953125,1216064
2020-04-23,199165.265625,200089.46875,196392.65625,197778.953125,687028
2020-04-24,197316.859375,200551.5625,194544.265625,195468.453125,1164959
2020-04-27,197316.859375,198703.15625,195468.453125,196392.65625,526172
2020-04-28,196392.65625,197778.953125,192233.75,193157.953125,786297
2020-04-29,193157.953125,195006.359375,191309.5625,194544.265625,708158
2020-05-04,192233.75,195006.359375,188074.859375,188074.859375,930929
2020-05-06,188999.046875,192233.75,185302.25,191309.5625,653523
2020-05-07,190385.359375,191309.5625,188074.859375,188536.953125,435736
2020-05-08,190385.359375,197778.953125,189461.15625,194544.265625,969193
2020-05-11,198703.15625,199165.265625,194082.15625,194544.265625,752053
2020-05-12,195930.5625,201013.65625,194544.265625,195006.359375,1063535
2020-05-13,195006.359375,198703.15625,194082.15625,198703.15625,825987
2020-05-14,198703.15625,200551.5625,195930.5625,200551.5625,1038012
2020-05-15,202399.96875,204710.46875,198703.15625,201013.65625,895410
2020-05-18,203324.171875,205172.5625,195930.5625,196854.765625,1070096
2020-05-19,196854.765625,198241.0625,193157.953125,196854.765625,767207
2020-05-20,198241.0625,202399.96875,197316.859375,201937.859375,716271
2020-05-21,201937.859375,203324.171875,199165.265625,201937.859375,573618
2020-05-22,203324.171875,204248.359375,196854.765625,199627.359375,689685
2020-05-25,199627.359375,199627.359375,197316.859375,198703.15625,401463
2020-05-26,199165.265625,200089.46875,196854.765625,198241.0625,522198
2020-05-27,195930.5625,197778.953125,195006.359375,196854.765625,640241
2020-05-28,196392.65625,197316.859375,190385.359375,195006.359375,775220
2020-05-29,195930.5625,197778.953125,193620.0625,197316.859375,714501
2020-06-01,197778.953125,214876.671875,196854.765625,210255.671875,3689950
2020-06-02,212566.171875,214876.671875,205172.5625,207483.0625,1207324
2020-06-03,213952.46875,217187.171875,207483.0625,210255.671875,1962244
2020-06-04,210255.671875,229201.78125,209793.578125,228277.578125,3286501
2020-06-05,225504.984375,240754.296875,224580.78125,237057.5,3137254
2020-06-08,240754.296875,243064.796875,233822.796875,236595.390625,1370934
2020-06-09,237519.59375,244451.09375,235671.1875,243526.890625,1456021
2020-06-10,243526.890625,249534.203125,241678.5,248147.90625,1155249
2020-06-11,258776.203125,276798.125,253693.109375,266169.8125,4257419
2020-06-12,258776.203125,280494.9375,257852.015625,274949.71875,4182834
2020-06-15,275411.8125,278184.4375,248147.90625,253231.0,3399550
2020-06-16,261548.8125,274487.625,261086.71875,271252.90625,2208402
2020-06-17,271715.03125,275411.8125,259238.3125,267556.125,1782155
2020-06-18,268480.3125,272177.125,264321.40625,265707.71875,848496
2020-06-19,267094.03125,270328.71875,259700.40625,269404.53125,1177004
2020-06-22,269404.53125,277260.21875,267556.125,274487.625,1261989
2020-06-23,282343.34375,304062.0625,279570.71875,294357.9375,4853190
2020-06-24,298978.9375,305910.4375,291585.34375,294820.03125,2116659
2020-06-25,291585.34375,298516.84375,290661.125,292047.4375,993689
2020-06-26,295744.25,296668.4375,284191.71875,288812.75,1003949
2020-06-29,292509.53125,301289.4375,287426.4375,287426.4375,1431763
2020-06-30,288350.625,290661.125,276336.03125,282805.4375,1641565
2020-07-01,284653.84375,285578.03125,273563.4375,274949.71875,1095055
2020-07-02,275411.8125,287888.53125,275411.8125,285115.9375,1227535
2020-07-03,287888.53125,288350.625,277722.3125,286040.125,823364
2020-07-06,285115.9375,289274.84375,281419.125,282343.34375,822107
2020-07-07,282343.34375,292047.4375,280032.8125,285115.9375,1086189
2020-07-08,288812.75,292047.4375,285115.9375,287888.53125,767998
2020-07-09,298054.75,303137.84375,293433.75,299441.03125,1771831
2020-07-10,303599.9375,306372.5625,292509.53125,299903.15625,1127945
2020-07-13,301751.53125,304524.15625,296668.4375,304062.0625,838804
2020-07-14,302213.65625,306372.5625,297592.65625,299441.03125,911945
2020-07-15,300365.25,301751.53125,290199.03125,292047.4375,1052526
2020-07-16,289736.9375,297130.53125,286964.34375,291123.25,794645
2020-07-17,293895.84375,304986.25,291123.25,303137.84375,1342878
2020-07-20,310993.5625,313766.15625,298054.75,298516.84375,1505299
2020-07-21,301751.53125,305910.4375,293895.84375,297130.53125,1317787
2020-07-22,298054.75,298516.84375,291123.25,297130.53125,810090
2020-07-23,297130.53125,301289.4375,292971.625,297592.65625,765402
2020-07-24,293433.75,303137.84375,292971.625,294820.03125,854044
2020-07-27,295744.25,296668.4375,292509.53125,292971.625,548979
2020-07-28,298978.9375,299441.03125,292047.4375,293433.75,720689
2020-07-29,290661.125,292971.625,275411.8125,278646.53125,2059515
2020-07-30,276798.125,287426.4375,265245.625,277260.21875,2947227
2020-07-31,277260.21875,282805.4375,273563.4375,274025.53125,891306
2020-08-03,271715.03125,278646.53125,262010.90625,276336.03125,1646339
2020-08-04,276798.125,283729.625,274487.625,279108.625,964602
2020-08-05,280957.03125,291123.25,280494.9375,291123.25,1150411
2020-08-06,295282.125,295744.25,286040.125,287426.4375,900976
2020-08-07,287426.4375,292971.625,284191.71875,290661.125,1042845
2020-08-10,296668.4375,299441.03125,289736.9375,291123.25,1321405
2020-08-11,291585.34375,294357.9375,288812.75,290199.03125,750272
2020-08-12,288812.75,289736.9375,278184.4375,279108.625,1213629
2020-08-13,279570.71875,295744.25,278646.53125,285115.9375,1898748
2020-08-14,284653.84375,288350.625,277260.21875,281419.125,1123070
2020-08-18,283729.625,292047.4375,278646.53125,280957.03125,1259221
2020-08-19,290199.03125,290661.125,280032.8125,280957.03125,952479
2020-08-20,280032.8125,292971.625,278184.4375,281881.21875,1848489
2020-08-21,284653.84375,285115.9375,273563.4375,278184.4375,1122654
2020-08-24,281419.125,287426.4375,278646.53125,286502.21875,880966
2020-08-25,286964.34375,287426.4375,281419.125,283267.53125,649263
2020-08-26,288350.625,295282.125,285578.03125,286964.34375,1365629
2020-08-27,286964.34375,287426.4375,280957.03125,281419.125,782148
2020-08-28,282805.4375,284653.84375,280494.9375,281419.125,603704
2020-08-31,281881.21875,282343.34375,274025.53125,274487.625,1168438
2020-09-01,274487.625,279108.625,272639.21875,275411.8125,723438
2020-09-02,276798.125,280957.03125,275411.8125,277722.3125,592573
2020-09-03,277722.3125,278646.53125,274949.71875,276798.125,538207
2020-09-04,269866.625,274487.625,269866.625,271715.03125,662466
2020-09-07,272639.21875,282805.4375,268942.40625,281881.21875,1099951
2020-09-08,280032.8125,297592.65625,274487.625,293895.84375,2919425
2020-09-09,290661.125,297592.65625,275411.8125,275873.9375,2686067
2020-09-10,276798.125,279570.71875,271715.03125,275873.9375,1349240
2020-09-11,275873.9375,284191.71875,274025.53125,275873.9375,1106643
2020-09-14,276336.03125,278184.4375,272177.125,273563.4375,549769
2020-09-15,274025.53125,276336.03125,271715.03125,273563.4375,446968
2020-09-16,274487.625,280032.8125,273563.4375,274487.625,474861
2020-09-17,276798.125,276798.125,268942.40625,269404.53125,742180
2020-09-18,276336.03125,278184.4375,269404.53125,269404.53125,816602
2020-09-21,269404.53125,270790.8125,256003.609375,257389.90625,1162389
2020-09-22,255541.5,261086.71875,243989.0,247685.796875,1447698
2020-09-23,248610.0,252306.8125,237057.5,245837.40625,1409228
2020-09-24,239830.09375,244451.09375,230125.984375,231050.1875,1429911
2020-09-25,233360.6875,244451.09375,232898.59375,238905.890625,1353969
2020-09-28,249072.109375,249072.109375,235209.09375,235671.1875,1122931
2020-09-29,237057.5,238905.890625,231974.390625,237981.6875,743169
2020-10-05,239368.0,240754.296875,231974.390625,235209.09375,691460
2020-10-06,236133.296875,239368.0,235209.09375,238443.796875,602376
2020-10-07,239368.0,241678.5,237057.5,240754.296875,532955
2020-10-08,243064.796875,250920.5,242140.59375,242140.59375,946752
2020-10-12,246299.5,253693.109375,243526.890625,252768.90625,838373
2020-10-13,255079.40625,255079.40625,248147.90625,249996.296875,585839
2020-10-14,248610.0,249072.109375,241678.5,242140.59375,633310
2020-10-15,241216.390625,243064.796875,234746.984375,235671.1875,678503
2020-10-16,235209.09375,242602.703125,234746.984375,237057.5,587685
2020-10-19,237057.5,241678.5,235209.09375,236133.296875,560237
2020-10-20,232898.59375,233822.796875,222270.28125,226891.28125,1315047
2020-10-21,225504.984375,227815.484375,222270.28125,225504.984375,676895
2020-10-22,223194.484375,226891.28125,218111.375,219497.671875,899862
2020-10-23,220421.875,223656.578125,215800.875,219959.78125,782626
2020-10-26,224580.78125,230125.984375,218573.484375,219959.78125,1022969
2020-10-27,219497.671875,226429.1875,216262.96875,220883.984375,744406
2020-10-28,222732.375,224580.78125,220883.984375,224118.6875,461509
2020-10-29,221346.078125,236595.390625,220883.984375,233822.796875,1067028
2020-10-30,233822.796875,234284.890625,222732.375,222732.375,892787
2020-11-02,224118.6875,230125.984375,221808.1875,225967.078125,526214
2020-11-03,228277.578125,239830.09375,227815.484375,239368.0,1099731
2020-11-04,243064.796875,250458.40625,240292.1875,249996.296875,1435509
2020-11-05,252306.8125,253231.0,246299.5,251382.609375,1044961
2020-11-06,253693.109375,262473.0,249996.296875,256465.703125,1287314
2020-11-09,261086.71875,266169.8125,260162.515625,263397.21875,959008
2020-11-10,262010.90625,263859.3125,255079.40625,255541.5,1131811
2020-11-11,256003.609375,278184.4375,254617.3125,274025.53125,2992421
2020-11-12,272639.21875,274025.53125,267094.03125,269866.625,1108978
2020-11-13,267556.125,272177.125,262010.90625,268018.21875,900742
2020-11-16,268942.40625,272177.125,266169.8125,266631.90625,639083
2020-11-17,264783.5,270790.8125,261086.71875,264321.40625,992543
2020-11-18,265707.71875,270790.8125,263397.21875,268942.40625,685862
2020-11-19,276336.03125,278184.4375,270328.71875,271715.03125,1091125
2020-11-20,271252.90625,274949.71875,270790.8125,274025.53125,578252
2020-11-23,277260.21875,280957.03125,275873.9375,278184.4375,1060962
2020-11-24,281881.21875,281881.21875,275411.8125,278646.53125,915414
2020-11-25,280957.03125,347499.46875,280494.9375,304986.25,11605716
2020-11-26,309607.25,312379.84375,298516.84375,304524.15625,3006647
2020-11-27,304524.15625,310531.4375,304062.0625,308683.0625,1436247
2020-11-30,311917.75,328553.375,311455.65625,314228.25,3313151
2020-12-01,319773.46875,324856.5625,312379.84375,317925.0625,1344913
2020-12-02,319311.375,321621.875,315152.46875,320697.65625,1242752
2020-12-03,318849.25,332250.15625,317000.84375,324394.46875,1844145
2020-12-04,329015.46875,356279.375,328553.375,351196.28125,5122919
2020-12-07,366445.59375,372915.0,351196.28125,372915.0,3749550
2020-12-08,365983.5,371990.8125,320697.65625,323470.25,4978333
2020-12-09,325318.65625,336871.1875,302213.65625,326704.96875,3894584
2020-12-10,318387.15625,340567.96875,317925.0625,332712.28125,2225371
2020-12-11,345188.96875,345188.96875,333174.375,333636.46875,1207824
2020-12-14,338719.5625,342416.375,323470.25,330401.78125,1813647
2020-12-15,332712.28125,334560.6875,315614.5625,332712.28125,2633768
2020-12-16,336409.0625,337333.28125,325780.75,326704.96875,1369728
2020-12-17,322083.96875,329477.5625,320235.5625,324856.5625,985292
2020-12-18,326242.875,330401.78125,324394.46875,329015.46875,997482
2020-12-21,333636.46875,344264.78125,329477.5625,339181.6875,2170257
2020-12-22,340105.875,342878.46875,331788.0625,331788.0625,1469893
2020-12-23,336409.0625,338257.46875,327167.0625,328091.28125,1542215
2020-12-24,328553.375,330863.875,317462.96875,321159.75,2246544
2020-12-28,323008.15625,332712.28125,299441.03125,308220.9375,7893990
2020-12-29,339837.84375,344079.9375,327111.625,339837.84375,6073085
2020-12-30,341723.21875,344079.9375,330882.34375,338423.84375,2235997
2021-01-04,331353.6875,334181.75,323340.875,327582.96875,2128477
2021-01-05,331353.6875,335595.78125,325226.25,334181.75,1332127
2021-01-06,336538.46875,338895.1875,333239.0625,333239.0625,1036961
2021-01-07,334653.09375,338895.1875,330882.34375,337009.8125,1014706
2021-01-08,338895.1875,348793.375,335595.78125,345965.3125,1824497
2021-01-11,355392.15625,364347.65625,345965.3125,352564.09375,2784367
2021-01-12,358691.5625,364819.0,348793.375,361990.9375,2625656
2021-01-13,358220.21875,367647.0625,353506.78125,359634.25,2210293
2021-01-14,345022.625,352564.09375,330882.34375,332296.375,3633828
2021-01-15,328996.96875,329468.3125,306843.90625,310143.28125,3604896
2021-01-18,308729.25,326168.9375,296003.03125,296003.03125,2759332
2021-01-19,290346.90625,298831.0625,279506.03125,294589.0,3500873
2021-01-20,297417.03125,305429.875,290346.90625,293174.96875,1480265
2021-01-21,296003.03125,299302.40625,288932.875,294117.65625,1149828
2021-01-22,294589.0,297417.03125,290346.90625,292232.28125,886024
2021-01-25,293646.3125,303544.5,293174.96875,302601.8125,998347
2021-01-26,308729.25,315799.40625,303073.15625,304015.84375,1332410
2021-01-27,307315.21875,313914.03125,299773.75,310143.28125,1075609
2021-01-28,301187.78125,318627.4375,297888.375,315328.0625,1579446
2021-01-29,315328.0625,319570.125,304015.84375,305429.875,1142386
2021-02-01,314856.71875,361048.25,313914.03125,349736.0625,6384531
2021-02-02,348793.375,348793.375,332296.375,335124.4375,2462742
2021-02-03,337009.8125,338895.1875,318627.4375,327582.96875,2039349
2021-02-04,325226.25,329468.3125,318156.09375,321926.84375,1166433
2021-02-05,327582.96875,334653.09375,315799.40625,321926.84375,2118861
2021-02-08,329939.65625,331353.6875,316742.09375,316742.09375,832259
2021-02-09,316742.09375,318156.09375,309200.59375,309200.59375,1044654
2021-02-10,307786.5625,312971.34375,305901.21875,312971.34375,779544
2021-02-15,320512.8125,323812.21875,313914.03125,313914.03125,1260453
2021-02-16,315799.40625,316270.75,305901.21875,306372.5625,877848
2021-02-17,305901.21875,310143.28125,297417.03125,303073.15625,1009058
2021-02-18,301659.125,307786.5625,296474.34375,296474.34375,711885
2021-02-19,292703.625,300245.09375,288461.53125,300245.09375,907602
2021-02-22,303544.5,304015.84375,290818.25,291760.9375,769186
2021-02-23,293174.96875,294589.0,279034.6875,279034.6875,1338645
2021-02-24,275735.28125,283748.125,265837.09375,265837.09375,1585750
2021-02-25,273849.9375,291289.59375,270079.1875,290346.90625,1461929
2021-02-26,282805.4375,286576.15625,275263.9375,280448.71875,1127022
2021-03-02,285162.15625,289404.21875,271964.5625,274792.59375,964456
2021-03-03,275735.28125,288461.53125,273378.59375,285633.46875,931467
2021-03-04,285633.46875,292232.28125,280448.71875,288932.875,819383
2021-03-05,287518.84375,289404.21875,282805.4375,284219.46875,498336
2021-03-08,286576.15625,286576.15625,273849.9375,274321.28125,632110
2021-03-09,271493.21875,275263.9375,264423.0625,271021.875,905171
2021-03-10,274792.59375,279506.03125,267722.46875,269136.5,524990
2021-03-11,269136.5,279506.03125,268193.8125,276206.625,700807
2021-03-12,279034.6875,283748.125,276206.625,279977.375,442291
2021-03-15,279506.03125,279977.375,272435.90625,272435.90625,503361
2021-03-16,273849.9375,280920.0625,272435.90625,279506.03125,435775
2021-03-17,279506.03125,280920.0625,274321.28125,276677.96875,382459
2021-03-18,278563.34375,282334.09375,275263.9375,275263.9375,426203
2021-03-19,271493.21875,273849.9375,267722.46875,270550.53125,486915
2021-03-22,273378.59375,277620.65625,269607.84375,272435.90625,494052
2021-03-23,277149.3125,286576.15625,274321.28125,275735.28125,761835
2021-03-24,277149.3125,284690.8125,275263.9375,282805.4375,601734
2021-03-25,284219.46875,289875.5625,281862.75,289875.5625,621116
2021-03-26,293646.3125,298359.71875,286576.15625,296003.03125,864956
2021-03-29,313442.6875,315328.0625,303544.5,311557.3125,1895253
2021-03-30,309671.9375,310143.28125,304487.1875,304958.53125,652346
2021-03-31,307786.5625,311085.96875,304015.84375,305901.21875,561777
2021-04-01,304958.53125,308729.25,299773.75,305901.21875,561049
2021-04-02,305901.21875,307315.21875,299773.75,302130.46875,530878
2021-04-05,299773.75,300716.4375,289404.21875,290346.90625,760436
2021-04-06,291289.59375,295060.34375,284690.8125,286104.8125,673595
2021-04-07,286576.15625,294117.65625,285633.46875,288461.53125,485863
2021-04-08,288932.875,293646.3125,285633.46875,293646.3125,516125
2021-04-09,294589.0,296474.34375,291289.59375,291760.9375,368197
2021-04-12,291760.9375,293174.96875,288461.53125,292703.625,363117
2021-04-13,294589.0,300716.4375,291289.59375,297888.375,608386
2021-04-14,298831.0625,300716.4375,295060.34375,296945.6875,432737
2021-04-15,296474.34375,296945.6875,291289.59375,291760.9375,580332
2021-04-16,292703.625,294117.65625,288932.875,290346.90625,401129
2021-04-19,290346.90625,295531.6875,287990.1875,291760.9375,604034
2021-04-20,288932.875,290346.90625,282334.09375,282805.4375,1122387
2021-04-21,278563.34375,280448.71875,273378.59375,273849.9375,1065653
2021-04-22,275263.9375,277620.65625,270550.53125,271493.21875,818974
2021-04-23,271493.21875,274321.28125,268665.15625,271493.21875,553240
2021-04-26,271493.21875,271964.5625,267722.46875,268665.15625,760582
2021-04-27,268665.15625,269136.5,257824.28125,258295.625,1426358
2021-04-28,256881.59375,265837.09375,250754.140625,254524.890625,1455139
2021-04-29,254996.234375,261123.6875,248868.78125,253110.859375,1099780
2021-04-30,254524.890625,257352.9375,249811.46875,250754.140625,741345
2021-05-03,249811.46875,252639.515625,234257.171875,235199.84375,2048542
2021-05-04,231429.109375,245569.375,230015.078125,245098.046875,1939289
2021-05-06,245098.046875,246512.0625,236613.875,238027.90625,1223202
2021-05-07,238970.59375,256410.25,238499.25,251225.484375,1380112
2021-05-10,260652.34375,261595.015625,253582.203125,259238.3125,1019716
2021-05-11,257824.28125,260652.34375,251225.484375,254996.234375,732071
2021-05-12,254996.234375,258766.96875,246512.0625,247454.75,818655
2021-05-13,245569.375,254996.234375,245098.046875,249811.46875,914587
2021-05-14,249811.46875,255938.90625,246512.0625,254996.234375,606127
2021-05-17,258295.625,261123.6875,253582.203125,254053.546875,605989
2021-05-18,249811.46875,257824.28125,248397.4375,256410.25,465928
2021-05-20,253582.203125,256881.59375,253110.859375,254524.890625,430171
2021-05-21,256410.25,260181.0,253110.859375,253110.859375,481443
2021-05-24,253582.203125,253582.203125,246512.0625,246983.40625,481723
2021-05-25,247926.09375,256410.25,246040.71875,256410.25,568565
2021-05-26,254524.890625,257352.9375,252639.515625,254996.234375,302433
2021-05-27,254996.234375,256410.25,249811.46875,253582.203125,544069
2021-05-28,254053.546875,260181.0,252639.515625,257824.28125,632461
2021-05-31,259238.3125,262066.359375,258295.625,258766.96875,459250
2021-06-01,258766.96875,259709.65625,254524.890625,256881.59375,349696
2021-06-02,255938.90625,256881.59375,251225.484375,251225.484375,571881
2021-06-03,250754.140625,256410.25,248868.78125,251225.484375,542032
2021-06-04,250282.8125,253110.859375,247926.09375,251696.828125,484049
2021-06-07,252639.515625,254053.546875,248397.4375,249340.125,372298
2021-06-08,249811.46875,255467.578125,249811.46875,253582.203125,578137
2021-06-09,254996.234375,255938.90625,246512.0625,246512.0625,641629
2021-06-10,248397.4375,251696.828125,246040.71875,250282.8125,591533
2021-06-11,251696.828125,255938.90625,249340.125,250282.8125,517935
2021-06-14,256881.59375,265365.75,253582.203125,264894.40625,1615572
2021-06-15,264894.40625,265365.75,259238.3125,259238.3125,647719
2021-06-16,258766.96875,258766.96875,254524.890625,255938.90625,423914
2021-06-17,254524.890625,256410.25,253110.859375,253582.203125,411221
2021-06-18,253582.203125,256410.25,253582.203125,254524.890625,505145
2021-06-21,254524.890625,265365.75,253110.859375,264423.0625,1067135
2021-06-22,263951.75,264423.0625,257824.28125,258295.625,566895
2021-06-23,259238.3125,267722.46875,258295.625,265365.75,1013144
