Symbol,Name,Industry
AMZN,Amazon.com Inc,Internet Retail
AXP,American Express Co,Credit Services
AMGN,Amgen Inc,Drug Manufacturers - General
AAPL,Apple Inc,Consumer Electronics
BA,Boeing Co,Aerospace & Defense
CAT,Caterpillar Inc,Farm & Heavy Construction Machinery
CSCO,Cisco Systems Inc,Communication Equipment
CVX,Chevron Corp,Oil & Gas Integrated
GS,Goldman Sachs Group Inc,Capital Markets
HD,Home Depot Inc,Home Improvement Retail
HON,Honeywell International Inc,Conglomerates
IBM,International Business Machines Corp,Information Technology Services
JNJ,Johnson & Johnson,Drug Manufacturers - General
KO,Coca-Cola Co,Beverages - Non-Alcoholic
JPM,JPMorgan Chase & Co,Banks - Diversified
MCD,McDonaldâ€™s Corp,Restaurants
MMM,3M Co,Conglomerates
MRK,Merck & Co Inc,Drug Manufacturers - General
MSFT,Microsoft Corp,Software - Infrastructure
NKE,Nike Inc,Footwear & Accessories
PG,Procter & Gamble Co,Household & Personal Products
SHW,Sherwin-Williams Co,Specialty Chemicals
TRV,Travelers Companies Inc,Insurance - Property & Casualty
UNH,Unitedhealth Group Inc,Healthcare Plans
CRM,Salesforce Inc,Software - Application
NVDA,NVIDIA Corp,Semiconductors
VZ,Verizon Communications Inc,Telecom Services
V,Visa Inc,Credit Services
WMT,Walmart Inc,Discount Stores
DIS,Walt Disney Co,Entertainment
